154 IPOs,,,,,,
Filter results ,,,,,,
IPO Date ,,,,,,
,Symbol,Company Name,IPO Price,Current,Return,
IPO Date ,,,,,,
,Symbol,Company Name,IPO Price,Current,Return,
06/28/23,GENK,"GEN Restaurant Group, Inc.",$12.00,$2.47,-79.42%,"'GENK',"
06/16/23,AZTR,"Azitra, Inc.",$5.00,$0.29,-94.12%,"'AZTR',"
06/16/23,BOF,BranchOut Food Inc.,$6.00,$3.38,-43.67%,"'BOF',"
06/15/23,CAVA,"CAVA Group, Inc.",$22.00,$56.91,158.68%,"'CAVA',"
06/14/23,ESHA,ESH Acquisition Corp.,$10.00,$12.28,22.82%,"'ESHA',"
05/26/23,ATMU,Atmus Filtration Technologies Inc.,$19.50,$53.57,174.72%,"'ATMU',"
05/25/23,ATS,ATS Corporation,$41.00,$27.87,-32.02%,"'ATS',"
05/25/23,IPXX,Inflection Point Acquisition Corp. II,$10.00,$10.79,7.85%,"'IPXX',"
05/17/23,CWD,CaliberCos Inc.,$4.00,$1.51,-62.25%,"'CWD',"
05/16/23,SGE,"Strong Global Entertainment, Inc.",$4.00,$1.55,-61.25%,"'SGE',"
05/05/23,ALCY,Alchemy Investments Acquisition Corp 1,$10.00,$11.94,19.44%,"'ALCY',"
05/05/23,SLRN,Solar 18 Corporation,$18.00,$2.25,-87.50%,"'SLRN',"
05/04/23,KVUE,Kenvue Inc.,$22.00,$17.02,-22.64%,"'KVUE',"
05/02/23,GODN,Golden Star Acquisition Corporation,$10.00,$2.91,-70.90%,"'GODN',"
04/28/23,TRNR,Interactive Strength Inc.,$8.00,$1.54,-80.75%,"'TRNR',"
04/21/23,AACT,Ares Acquisition Corporation II,$10.00,$9.49,-5.10%,"'AACT',"
04/21/23,JYD,Jayud Global Logistics Limited,$4.00,$3.69,-7.75%,"'JYD',"
04/20/23,UCAR,U Power Limited,$6.00,$1.65,-72.50%,"'UCAR',"
04/20/23,USGO,U.S. GoldMining Inc.,$10.00,$9.76,-2.40%,"'USGO',"
04/20/23,WLGS,"Wang & Lee Group, Inc.",$5.00,$0.04,-99.18%,"'WLGS',"
04/18/23,TPET,Trio Petroleum Corp.,$3.00,$0.75,-75.03%,"'TPET',"
04/18/23,WAI,Top KingWin Ltd,$4.00,$2.53,-36.79%,"'WAI',"
04/14/23,GDTC,CytoMed Therapeutics Limited,$4.00,$1.41,-64.75%,"'GDTC',"
04/13/23,VCIG,VCI Global Limited,$4.00,$0.58,-85.59%,"'VCIG',"
04/12/23,GDHG,Golden Heaven Group Holdings Ltd.,$4.00,$2.65,-33.67%,"'GDHG',"
04/05/23,ARBB,ARB IOT Group Limited,$4.00,$6.76,69.00%,"'ARBB',"
04/04/23,ISPR,Ispire Technology Inc.,$7.00,$2.92,-58.29%,"'ISPR',"
04/04/23,MGIH,Millennium Group International Holdings Limited,$4.00,$1.28,-67.94%,"'MGIH',"
04/03/23,MWG,Multi Ways Holdings Limited,$2.50,$0.25,-89.96%,"'MWG',"
03/31/23,HKIT,Hitek Global Inc.,$5.00,$2.17,-56.60%,"'HKIT',"
03/31/23,HSHP,Himalaya Shipping Ltd.,$5.80,$8.83,52.24%,"'HSHP',"
03/31/23,SFWL,Shengfeng Development Limited,$4.00,$1.00,-75.00%,"'SFWL',"
03/31/23,SYT,Softing AG,$8.00,$2.26,-71.75%,"'SYT',"
03/30/23,CHSN,Chanson International Holding,$4.00,$2.23,-44.25%,"'CHSN',"
03/29/23,HLP,Hongli Group Inc.,$4.00,$1.19,-70.25%,"'HLP',"
03/29/23,TBMC,Trailblazer Merger Corporation I,$10.00,$11.90,19.00%,"'TBMC',"
