Filename,Ticker,Filed Date,Blob URL,Blob Pathname,Size (MB),Status,Error
WBTN_2024-06-27_0001193125_24_169730.pdf,WBTN,2024-06-27,,,0.00,error,"Vercel Blob: This blob already exists, use `allowOverwrite: true` if you want to overwrite it. Or `addRandomSuffix: true` to generate a unique filename. Read more about this error in our documentation: https://vercel.link/blob-allow-overwrite"
WLTH_2025-12-12_0001628280_25_056780.pdf,WLTH,2025-12-12,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/WLTH_2025-12-12_0001628280_25_056780.pdf,filings/424b4/WLTH_2025-12-12_0001628280_25_056780.pdf,56.91,success,""
WRD_2016-12-15_0001193125_16_794451.pdf,WRD,2016-12-15,,,0.00,error,"Vercel Blob: This blob already exists, use `allowOverwrite: true` if you want to overwrite it. Or `addRandomSuffix: true` to generate a unique filename. Read more about this error in our documentation: https://vercel.link/blob-allow-overwrite"
WRD_2024-10-25_0001193125_24_243435.pdf,WRD,2024-10-25,,,0.00,error,"Vercel Blob: This blob already exists, use `allowOverwrite: true` if you want to overwrite it. Or `addRandomSuffix: true` to generate a unique filename. Read more about this error in our documentation: https://vercel.link/blob-allow-overwrite"
WSTN_2025-11-05_0001213900_25_106546.pdf,WSTN,2025-11-05,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/WSTN_2025-11-05_0001213900_25_106546.pdf,filings/424b4/WSTN_2025-11-05_0001213900_25_106546.pdf,3.32,success,""
XZO_2025-11-05_0001193125_25_267098.pdf,XZO,2025-11-05,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/XZO_2025-11-05_0001193125_25_267098.pdf,filings/424b4/XZO_2025-11-05_0001193125_25_267098.pdf,8.46,success,""
AACB_2025-02-14_0001140361_25_004482.pdf,AACB,2025-02-14,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AACB_2025-02-14_0001140361_25_004482.pdf,filings/424b4/AACB_2025-02-14_0001140361_25_004482.pdf,1.95,success,""
AAPG_2025-01-24_0001104659_25_006029.pdf,AAPG,2025-01-24,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AAPG_2025-01-24_0001104659_25_006029.pdf,filings/424b4/AAPG_2025-01-24_0001104659_25_006029.pdf,2.97,success,""
AARD_2025-02-13_0001193125_25_026060.pdf,AARD,2025-02-13,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AARD_2025-02-13_0001193125_25_026060.pdf,filings/424b4/AARD_2025-02-13_0001193125_25_026060.pdf,1.02,success,""
ACCL_2025-10-17_0001213900_25_099963.pdf,ACCL,2025-10-17,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ACCL_2025-10-17_0001213900_25_099963.pdf,filings/424b4/ACCL_2025-10-17_0001213900_25_099963.pdf,1.82,success,""
ADAC_2025-12-19_0001104659_25_122671.pdf,ADAC,2025-12-19,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ADAC_2025-12-19_0001104659_25_122671.pdf,filings/424b4/ADAC_2025-12-19_0001104659_25_122671.pdf,2.19,success,""
ADVB_2025-03-06_0001575872_25_000219.pdf,ADVB,2025-03-06,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ADVB_2025-03-06_0001575872_25_000219.pdf,filings/424b4/ADVB_2025-03-06_0001575872_25_000219.pdf,1.88,success,""
ADVB_2025-03-06_0001575872_25_000222.pdf,ADVB,2025-03-06,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ADVB_2025-03-06_0001575872_25_000222.pdf,filings/424b4/ADVB_2025-03-06_0001575872_25_000222.pdf,0.14,success,""
AEXA_2025-09-29_0001193125_25_221814.pdf,AEXA,2025-09-29,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AEXA_2025-09-29_0001193125_25_221814.pdf,filings/424b4/AEXA_2025-09-29_0001193125_25_221814.pdf,1.82,success,""
AGCC_2025-10-22_0001213900_25_101076.pdf,AGCC,2025-10-22,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AGCC_2025-10-22_0001213900_25_101076.pdf,filings/424b4/AGCC_2025-10-22_0001213900_25_101076.pdf,1.47,success,""
AGH_2025-02-13_0001493152_25_006199.pdf,AGH,2025-02-13,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AGH_2025-02-13_0001493152_25_006199.pdf,filings/424b4/AGH_2025-02-13_0001493152_25_006199.pdf,1.39,success,""
AGH_2025-09-17_0001493152_25_013875.pdf,AGH,2025-09-17,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AGH_2025-09-17_0001493152_25_013875.pdf,filings/424b4/AGH_2025-09-17_0001493152_25_013875.pdf,1.35,success,""
AHL_2025-05-08_0001628280_25_023859.pdf,AHL,2025-05-08,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AHL_2025-05-08_0001628280_25_023859.pdf,filings/424b4/AHL_2025-05-08_0001628280_25_023859.pdf,2.92,success,""
AHMA_2025-10-21_0001213900_25_100561.pdf,AHMA,2025-10-21,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AHMA_2025-10-21_0001213900_25_100561.pdf,filings/424b4/AHMA_2025-10-21_0001213900_25_100561.pdf,1.26,success,""
AIIA_2025-10-06_0001493152_25_017033.pdf,AIIA,2025-10-06,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AIIA_2025-10-06_0001493152_25_017033.pdf,filings/424b4/AIIA_2025-10-06_0001493152_25_017033.pdf,1.75,success,""
AII_2025-05-08_0001193125_25_115969.pdf,AII,2025-05-08,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AII_2025-05-08_0001193125_25_115969.pdf,filings/424b4/AII_2025-05-08_0001193125_25_115969.pdf,1.67,success,""
AII_2025-11-20_0001193125_25_288774.pdf,AII,2025-11-20,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AII_2025-11-20_0001193125_25_288774.pdf,filings/424b4/AII_2025-11-20_0001193125_25_288774.pdf,1.84,success,""
AIRO_2025-06-16_0001641172_25_015147.pdf,AIRO,2025-06-16,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AIRO_2025-06-16_0001641172_25_015147.pdf,filings/424b4/AIRO_2025-06-16_0001641172_25_015147.pdf,2.20,success,""
AIRO_2025-09-12_0001493152_25_013119.pdf,AIRO,2025-09-12,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AIRO_2025-09-12_0001493152_25_013119.pdf,filings/424b4/AIRO_2025-09-12_0001493152_25_013119.pdf,2.17,success,""
ALH_2025-10-09_0001628280_25_044698.pdf,ALH,2025-10-09,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ALH_2025-10-09_0001628280_25_044698.pdf,filings/424b4/ALH_2025-10-09_0001628280_25_044698.pdf,1.76,success,""
ALIS_2025-10-22_0001493152_25_018879.pdf,ALIS,2025-10-22,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ALIS_2025-10-22_0001493152_25_018879.pdf,filings/424b4/ALIS_2025-10-22_0001493152_25_018879.pdf,1.75,success,""
AMBQ_2025-07-31_0001193125_25_169401.pdf,AMBQ,2025-07-31,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AMBQ_2025-07-31_0001193125_25_169401.pdf,filings/424b4/AMBQ_2025-07-31_0001193125_25_169401.pdf,1.54,success,""
ANPA_2025-07-09_0001213900_25_062147.pdf,ANPA,2025-07-09,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ANPA_2025-07-09_0001213900_25_062147.pdf,filings/424b4/ANPA_2025-07-09_0001213900_25_062147.pdf,1.54,success,""
ANTA_2025-05-15_0001193125_25_120412.pdf,ANTA,2025-05-15,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ANTA_2025-05-15_0001193125_25_120412.pdf,filings/424b4/ANTA_2025-05-15_0001193125_25_120412.pdf,1.68,success,""
APAC_2025-10-01_0001829126_25_007803.pdf,APAC,2025-10-01,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/APAC_2025-10-01_0001829126_25_007803.pdf,filings/424b4/APAC_2025-10-01_0001829126_25_007803.pdf,2.15,success,""
APAD_2025-07-30_0001213900_25_068890.pdf,APAD,2025-07-30,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/APAD_2025-07-30_0001213900_25_068890.pdf,filings/424b4/APAD_2025-07-30_0001213900_25_068890.pdf,2.29,success,""
APUS_2025-05-09_0001213900_25_041193.pdf,APUS,2025-05-09,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/APUS_2025-05-09_0001213900_25_041193.pdf,filings/424b4/APUS_2025-05-09_0001213900_25_041193.pdf,1.18,success,""
APXT_2025-10-28_0001213900_25_103160.pdf,APXT,2025-10-28,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/APXT_2025-10-28_0001213900_25_103160.pdf,filings/424b4/APXT_2025-10-28_0001213900_25_103160.pdf,2.22,success,""
ARX_2025-07-25_0001193125_25_164549.pdf,ARX,2025-07-25,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ARX_2025-07-25_0001193125_25_164549.pdf,filings/424b4/ARX_2025-07-25_0001193125_25_164549.pdf,3.97,success,""
ASIC_2025-06-11_0001104659_25_058563.pdf,ASIC,2025-06-11,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ASIC_2025-06-11_0001104659_25_058563.pdf,filings/424b4/ASIC_2025-06-11_0001104659_25_058563.pdf,1.91,success,""
ATHR_2025-04-11_0001641172_25_003724.pdf,ATHR,2025-04-11,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ATHR_2025-04-11_0001641172_25_003724.pdf,filings/424b4/ATHR_2025-04-11_0001641172_25_003724.pdf,1.22,success,""
ATHR_2025-04-11_0001641172_25_003725.pdf,ATHR,2025-04-11,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ATHR_2025-04-11_0001641172_25_003725.pdf,filings/424b4/ATHR_2025-04-11_0001641172_25_003725.pdf,1.19,success,""
ATII_2025-02-11_0001437749_25_003437.pdf,ATII,2025-02-11,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ATII_2025-02-11_0001437749_25_003437.pdf,filings/424b4/ATII_2025-02-11_0001437749_25_003437.pdf,1.68,success,""
AXIN_2025-06-18_0001213900_25_055682.pdf,AXIN,2025-06-18,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AXIN_2025-06-18_0001213900_25_055682.pdf,filings/424b4/AXIN_2025-06-18_0001213900_25_055682.pdf,2.17,success,""
BACC_2025-06-13_0001185185_25_000641.pdf,BACC,2025-06-13,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/BACC_2025-06-13_0001185185_25_000641.pdf,filings/424b4/BACC_2025-06-13_0001185185_25_000641.pdf,2.28,success,""
BBNX_2025-01-31_0001193125_25_017676.pdf,BBNX,2025-01-31,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/BBNX_2025-01-31_0001193125_25_017676.pdf,filings/424b4/BBNX_2025-01-31_0001193125_25_017676.pdf,2.46,success,""
